SETTLEMENTDATE;PRICE/GIGA_WATT
10/06/2020 06:00;5.582974964
10/06/2020 06:30;6.346984548
10/06/2020 07:00;7.2429498
10/06/2020 07:30;9.576738504
10/06/2020 08:00;18.76997908
10/06/2020 08:30;26.83214636
10/06/2020 09:00;15.64343962
10/06/2020 09:30;13.91077466
10/06/2020 10:00;12.96286245
10/06/2020 10:30;9.934395501
10/06/2020 11:00;8.656887154
10/06/2020 11:30;9.289616258
10/06/2020 12:00;8.612283408
10/06/2020 12:30;9.908297945
10/06/2020 13:00;9.973027212
10/06/2020 13:30;9.761172426
10/06/2020 14:00;9.503806059
10/06/2020 14:30;8.737676177
10/06/2020 15:00;8.010836844
10/06/2020 15:30;9.142939177
10/06/2020 16:00;7.95089315
10/06/2020 16:30;8.099969539
10/06/2020 17:00;19.72216803
10/06/2020 17:30;7.02831785
10/06/2020 18:00;105.4654122
10/06/2020 18:30;36.57440292
10/06/2020 19:00;22.10392659
10/06/2020 19:30;16.04262117
10/06/2020 20:00;10.03812631
10/06/2020 20:30;7.617901181
10/06/2020 21:00;7.315746006
10/06/2020 21:30;7.289222829
10/06/2020 22:00;6.346190689
10/06/2020 22:30;6.70397905
10/06/2020 23:00;6.33637335
10/06/2020 23:30;5.962183961
11/06/2020 00:00;5.943687015
11/06/2020 00:30;6.775473863
11/06/2020 01:00;6.94583694
11/06/2020 01:30;7.559724549
11/06/2020 02:00;7.762868947
11/06/2020 02:30;7.837447199
11/06/2020 03:00;7.837455276
11/06/2020 03:30;7.652676663
11/06/2020 04:00;7.189689641
11/06/2020 04:30;7.279602788
11/06/2020 05:00;7.141998959
11/06/2020 05:30;7.380326647
11/06/2020 06:00;6.730055456
11/06/2020 06:30;6.380461957
11/06/2020 07:00;12.49227821
11/06/2020 07:30;21.48709641
11/06/2020 08:00;31.81825941
11/06/2020 08:30;31.62310664
11/06/2020 09:00;12.79919716
11/06/2020 09:30;14.49349608
11/06/2020 10:00;8.626173336
11/06/2020 10:30;6.532533273
11/06/2020 11:00;6.043261726
11/06/2020 11:30;6.343143825
11/06/2020 12:00;6.805396908
11/06/2020 12:30;5.881147676
11/06/2020 13:00;5.87393159
11/06/2020 13:30;5.591559288
11/06/2020 14:00;6.172847571
11/06/2020 14:30;5.814887147
11/06/2020 15:00;6.235888614
11/06/2020 15:30;6.144749067
11/06/2020 16:00;7.280900899
11/06/2020 16:30;6.558727363
11/06/2020 17:00;8.628929139
11/06/2020 17:30;8.234517108
11/06/2020 18:00;16.4635159
11/06/2020 18:30;14.67878757
11/06/2020 19:00;6.079242354
11/06/2020 19:30;5.674412322
11/06/2020 20:00;5.946725782
11/06/2020 20:30;5.247764615
11/06/2020 21:00;4.89535066
11/06/2020 21:30;5.212026347
11/06/2020 22:00;5.045673534
11/06/2020 22:30;5.247716605
11/06/2020 23:00;5.299944951
11/06/2020 23:30;5.233333051
12/06/2020 00:00;5.498012539
12/06/2020 00:30;5.455070674
12/06/2020 01:00;5.64978926
12/06/2020 01:30;5.666426099
12/06/2020 02:00;5.171921623
12/06/2020 02:30;5.228540528
12/06/2020 03:00;4.110783301
12/06/2020 03:30;4.796471643
12/06/2020 04:00;5.633368925
12/06/2020 04:30;5.02573085
12/06/2020 05:00;5.224082113
12/06/2020 05:30;5.141955301
12/06/2020 06:00;4.78756446
12/06/2020 06:30;4.767690823
12/06/2020 07:00;5.30427503
12/06/2020 07:30;6.338511365
12/06/2020 08:00;8.344316877
12/06/2020 08:30;6.11949382
12/06/2020 09:00;5.956693403
12/06/2020 09:30;5.954315931
12/06/2020 10:00;6.378706669
12/06/2020 10:30;6.88682367
12/06/2020 11:00;6.8861172
12/06/2020 11:30;6.34602037
12/06/2020 12:00;5.289361607
12/06/2020 12:30;5.2706893
12/06/2020 13:00;5.211081249
12/06/2020 13:30;5.331844938
12/06/2020 14:00;5.502827498
12/06/2020 14:30;5.730070475
12/06/2020 15:00;6.03650026
12/06/2020 15:30;5.841203743
12/06/2020 16:00;6.407490531
12/06/2020 16:30;6.084630598
12/06/2020 17:00;6.3534067
12/06/2020 17:30;5.275659876
12/06/2020 18:00;5.899434335
12/06/2020 18:30;5.096768695
12/06/2020 19:00;4.570342771
12/06/2020 19:30;4.447091642
12/06/2020 20:00;4.322159948
12/06/2020 20:30;4.165403549
12/06/2020 21:00;4.101460671
12/06/2020 21:30;4.214147637
12/06/2020 22:00;4.209450199
12/06/2020 22:30;4.336540968
12/06/2020 23:00;3.996784866
12/06/2020 23:30;4.526573273
13/06/2020 00:00;5.05302199
13/06/2020 00:30;5.187509676
13/06/2020 01:00;5.323566067
13/06/2020 01:30;5.17801292
13/06/2020 02:00;4.182501751
13/06/2020 02:30;4.127513209
13/06/2020 03:00;3.494107271
13/06/2020 03:30;3.977691
13/06/2020 04:00;3.941236396
13/06/2020 04:30;2.722867735
13/06/2020 05:00;3.638235852
13/06/2020 05:30;4.71506817
13/06/2020 06:00;4.678661692
13/06/2020 06:30;4.578092829
13/06/2020 07:00;4.542934306
13/06/2020 07:30;4.640263782
13/06/2020 08:00;4.825795474
13/06/2020 08:30;4.58944025
13/06/2020 09:00;4.678274182
13/06/2020 09:30;4.66575683
13/06/2020 10:00;4.678234921
13/06/2020 10:30;4.808200561
13/06/2020 11:00;4.779786075
13/06/2020 11:30;4.725676082
13/06/2020 12:00;4.837817786
13/06/2020 12:30;5.078875619
13/06/2020 13:00;5.264091297
13/06/2020 13:30;5.331950237
13/06/2020 14:00;5.447943607
13/06/2020 14:30;5.160685614
13/06/2020 15:00;5.094155559
13/06/2020 15:30;4.963121252
13/06/2020 16:00;5.038025002
13/06/2020 16:30;4.582681874
13/06/2020 17:00;4.985593726
13/06/2020 17:30;4.59579884
13/06/2020 18:00;5.009647704
13/06/2020 18:30;4.396218042
13/06/2020 19:00;4.229572395
13/06/2020 19:30;4.283577278
13/06/2020 20:00;4.330139504
13/06/2020 20:30;4.422944668
13/06/2020 21:00;4.572553243
13/06/2020 21:30;4.67318161
13/06/2020 22:00;4.656243312
13/06/2020 22:30;4.516171714
13/06/2020 23:00;4.093404871
13/06/2020 23:30;4.789148049
14/06/2020 00:00;4.784342248
14/06/2020 00:30;4.437644912
14/06/2020 01:00;4.64037123
14/06/2020 01:30;4.024314536
14/06/2020 02:00;3.381094888
14/06/2020 02:30;2.865316061
14/06/2020 03:00;1.959357969
14/06/2020 03:30;1.128518761
14/06/2020 04:00;0
14/06/2020 04:30;0
14/06/2020 05:00;2.385108886
14/06/2020 05:30;3.98621255
14/06/2020 06:00;2.905525409
14/06/2020 06:30;3.547040552
14/06/2020 07:00;3.939451341
14/06/2020 07:30;4.662441867
14/06/2020 08:00;4.704367494
14/06/2020 08:30;5.174527354
14/06/2020 09:00;4.751699031
14/06/2020 09:30;4.856322203
14/06/2020 10:00;4.762499984
14/06/2020 10:30;4.474708687
14/06/2020 11:00;4.417630272
14/06/2020 11:30;4.243566033
14/06/2020 12:00;2.511869758
14/06/2020 12:30;4.582288536
14/06/2020 13:00;4.872448097
14/06/2020 13:30;4.672577875
14/06/2020 14:00;4.686818776
14/06/2020 14:30;5.541404786
14/06/2020 15:00;5.482821574
14/06/2020 15:30;5.389791052
14/06/2020 16:00;5.046676341
14/06/2020 16:30;4.383812944
14/06/2020 17:00;5.515621834
14/06/2020 17:30;6.16670092
14/06/2020 18:00;10.17196107
14/06/2020 18:30;5.342762105
14/06/2020 19:00;4.496363143
14/06/2020 19:30;4.330003548
14/06/2020 20:00;4.198712148
14/06/2020 20:30;4.263575362
14/06/2020 21:00;4.281627381
14/06/2020 21:30;4.428438198
14/06/2020 22:00;4.357020366
14/06/2020 22:30;4.64999095
14/06/2020 23:00;4.362652645
14/06/2020 23:30;4.158328922
15/06/2020 00:00;4.309773767
15/06/2020 00:30;4.314476167
15/06/2020 01:00;4.264936696
15/06/2020 01:30;3.694561919
15/06/2020 02:00;3.644346872
15/06/2020 02:30;1.858792514
15/06/2020 03:00;1.861561321
15/06/2020 03:30;1.372530748
15/06/2020 04:00;0.282459581
15/06/2020 04:30;1.804402173
15/06/2020 05:00;3.518962871
15/06/2020 05:30;3.494051897
15/06/2020 06:00;2.535453013
15/06/2020 06:30;4.25413737
15/06/2020 07:00;4.433563719
15/06/2020 07:30;4.219670782
15/06/2020 08:00;4.315889987
15/06/2020 08:30;4.211912083
15/06/2020 09:00;4.021499143
15/06/2020 09:30;4.137428073
15/06/2020 10:00;4.323658683
15/06/2020 10:30;4.519238945
15/06/2020 11:00;4.658271807
15/06/2020 11:30;4.033786413
15/06/2020 12:00;4.132029654
15/06/2020 12:30;4.129795798
15/06/2020 13:00;4.177056949
15/06/2020 13:30;4.210426906
15/06/2020 14:00;4.286957917
15/06/2020 14:30;4.255881437
15/06/2020 15:00;4.203336739
15/06/2020 15:30;4.088246134
15/06/2020 16:00;4.009028532
15/06/2020 16:30;3.935219872
15/06/2020 17:00;4.196129311
15/06/2020 17:30;4.597499048
15/06/2020 18:00;4.931832462
15/06/2020 18:30;4.199052726
15/06/2020 19:00;3.933926234
15/06/2020 19:30;3.889309015
15/06/2020 20:00;4.06922462
15/06/2020 20:30;4.057008521
15/06/2020 21:00;3.998476566
15/06/2020 21:30;4.187732667
15/06/2020 22:00;4.066868707
15/06/2020 22:30;4.446084267
15/06/2020 23:00;4.302358672
15/06/2020 23:30;4.66463082
16/06/2020 00:00;4.638529824
16/06/2020 00:30;5.036699409
16/06/2020 01:00;4.899509531
16/06/2020 01:30;4.540749891
16/06/2020 02:00;4.464279554
16/06/2020 02:30;3.959730773
16/06/2020 03:00;2.725772475
16/06/2020 03:30;3.135764921
16/06/2020 04:00;3.382052269
16/06/2020 04:30;4.559108306
16/06/2020 05:00;4.673965008
16/06/2020 05:30;5.007553333
16/06/2020 06:00;4.50468764
16/06/2020 06:30;4.824499725
16/06/2020 07:00;4.646726699
16/06/2020 07:30;4.274593306
16/06/2020 08:00;4.18084759
16/06/2020 08:30;3.921886159
16/06/2020 09:00;3.890999449
16/06/2020 09:30;3.851538628
16/06/2020 10:00;3.732916959
16/06/2020 10:30;3.778094429
16/06/2020 11:00;3.947445419
16/06/2020 11:30;4.157753923
16/06/2020 12:00;4.26589212
16/06/2020 12:30;4.121230495
16/06/2020 13:00;4.318481902
16/06/2020 13:30;4.343341706
16/06/2020 14:00;4.334848098
16/06/2020 14:30;4.28424847
16/06/2020 15:00;4.15471863
16/06/2020 15:30;4.634956711
16/06/2020 16:00;4.702014885
16/06/2020 16:30;4.240785508
16/06/2020 17:00;4.363702497
16/06/2020 17:30;4.770024699
16/06/2020 18:00;14.26372975
16/06/2020 18:30;5.727068145
16/06/2020 19:00;5.325546783
16/06/2020 19:30;4.711999431
16/06/2020 20:00;4.401589736
16/06/2020 20:30;4.346467816
16/06/2020 21:00;4.230327586
16/06/2020 21:30;4.265536598
16/06/2020 22:00;4.316090786
16/06/2020 22:30;4.561726477
16/06/2020 23:00;4.252321103
16/06/2020 23:30;4.183872149
17/06/2020 00:00;4.1158514
17/06/2020 00:30;4.879627869
17/06/2020 01:00;4.997949886
17/06/2020 01:30;5.138674814
17/06/2020 02:00;5.320714866
17/06/2020 02:30;5.23361129
17/06/2020 03:00;5.519197334
17/06/2020 03:30;5.603630664
17/06/2020 04:00;5.673183161
17/06/2020 04:30;5.487532856
17/06/2020 05:00;5.201219105
17/06/2020 05:30;5.113293574
17/06/2020 06:00;5.736290319
17/06/2020 06:30;6.311062638
17/06/2020 07:00;17.03619942
17/06/2020 07:30;6.716187004
17/06/2020 08:00;6.601779531
17/06/2020 08:30;7.796637289
17/06/2020 09:00;5.218838745
17/06/2020 09:30;5.040162444
17/06/2020 10:00;6.449051385
17/06/2020 10:30;5.492120876
17/06/2020 11:00;5.061215257
17/06/2020 11:30;5.427291424
17/06/2020 12:00;5.453056894
17/06/2020 12:30;4.326087032
17/06/2020 13:00;4.528593207
17/06/2020 13:30;4.902118802
17/06/2020 14:00;4.912321836
17/06/2020 14:30;4.688743694
17/06/2020 15:00;4.814439024
17/06/2020 15:30;4.973387721
17/06/2020 16:00;5.523418868
17/06/2020 16:30;5.325607718
17/06/2020 17:00;4.910790094
17/06/2020 17:30;12.83837431
17/06/2020 18:00;26.98578095
17/06/2020 18:30;16.36251441
17/06/2020 19:00;4.658051835
17/06/2020 19:30;4.534611864
17/06/2020 20:00;4.30094116
17/06/2020 20:30;4.116677136
17/06/2020 21:00;4.544445312
17/06/2020 21:30;4.669780561
17/06/2020 22:00;4.187561048
17/06/2020 22:30;4.522903873
17/06/2020 23:00;4.20277397
17/06/2020 23:30;4.551461918
18/06/2020 00:00;4.706435059
